"spkid","full_name","pha","epoch","e","a","i","om","w","ma","per"
20017274," 17274 (2000 LC16)",N,2460600.5,0.5539,2.731,5.57,305.70,21.35,129.39,1.65e+03
20017511," 17511 (1992 QN)",N,2460600.5,0.3587,1.19,9.58,355.89,202.44,10.89,474
20018106," 18106 Blume (2000 NX3)",N,2460600.5,0.5120,2.443,4.22,109.17,234.96,112.61,1.39e+03
20018109," 18109 (2000 NG11)",N,2460600.5,0.3679,1.881,0.81,59.54,319.26,117.48,942
20018172," 18172 (2000 QL7)",N,2460600.5,0.5111,2.425,17.83,338.45,100.71,102.38,1.38e+03
20018736," 18736 (1998 NU)",N,2460600.5,0.4910,2.349,2.81,297.43,222.92,199.67,1.32e+03
20018882," 18882 (1999 YN4)",N,2460600.5,0.2320,1.685,36.81,291.67,242.69,49.89,799
20019356," 19356 (1997 GH3)",N,2460600.5,0.5576,2.512,3.01,186.48,334.13,354.22,1.45e+03
20019764," 19764 (2000 NF5)",N,2460600.5,0.4428,2.235,1.33,281.40,9.75,106.69,1.22e+03
20020086," 20086 (1994 LW)",N,2460600.5,0.6253,3.176,21.79,237.14,57.78,116.25,2.07e+03
20020236," 20236 (1998 BZ7)",N,2460600.5,0.5610,2.034,6.51,111.23,104.58,42.72,1.06e+03
20020255," 20255 (1998 FX2)",N,2460600.5,0.4922,2.151,9.96,180.93,17.56,144.77,1.15e+03
20020425," 20425 (1998 VD35)",Y,2460600.5,0.4764,1.565,6.99,227.25,296.32,32.70,715
20020429," 20429 (1998 YN1)",N,2460600.5,0.4642,1.556,6.30,61.73,147.72,42.37,709
20020460," 20460 Robwhiteley (1999 LO28)",N,2460600.5,0.4116,1.877,33.95,279.99,283.75,343.48,939
20020790," 20790 (2000 SE45)",N,2460600.5,0.5561,2.753,8.29,302.85,168.95,80.23,1.67e+03
20020826," 20826 (2000 UV13)",N,2460600.5,0.6362,2.418,31.92,347.28,198.70,93.36,1.37e+03
20021088," 21088 Chelyabinsk (1992 BL2)",N,2460600.5,0.2384,1.706,38.45,297.83,27.16,28.40,814
20021277," 21277 (1996 TO5)",N,2460600.5,0.5204,2.378,20.95,167.35,250.16,206.86,1.34e+03
20021374," 21374 (1997 WS22)",N,2460600.5,0.1207,1.269,23.98,59.19,197.28,89.26,522
20022099," 22099 (2000 EX106)",N,2460600.5,0.2762,1.104,9.85,136.43,186.56,320.17,424
20022753," 22753 (1998 WT)",Y,2460600.5,0.5699,1.219,3.20,307.36,324.80,165.33,492
20022771," 22771 (1999 CU3)",N,2460600.5,0.5243,1.576,11.40,338.91,305.83,256.93,723
20023183," 23183 (2000 OY21)",N,2460600.5,0.4009,1.824,40.97,119.63,301.48,239.12,900
20023187," 23187 (2000 PN9)",Y,2460600.5,0.5893,1.847,51.33,164.29,293.53,167.50,917
20023548," 23548 (1994 EF2)",N,2460600.5,0.5180,2.289,23.44,345.85,124.29,313.15,1.27e+03
20023606," 23606 (1996 AS1)",N,2460600.5,0.3611,1.75,14.36,296.61,357.59,350.36,846
20023714," 23714 (1998 EC3)",N,2460600.5,0.5162,2.13,8.41,127.61,129.34,164.63,1.14e+03
20024443," 24443 (2000 OG)",N,2460600.5,0.8224,2.311,25.74,178.08,231.22,307.38,1.28e+03
20024445," 24445 (2000 PM8)",N,2460600.5,0.5459,2.211,23.78,203.16,219.08,119.45,1.2e+03
20024475," 24475 (2000 VN2)",N,2460600.5,0.4415,1.975,14.63,76.40,32.69,213.81,1.01e+03
20024761," 24761 Ahau (1993 BW2)",N,2460600.5,0.3058,1.335,21.92,121.04,287.55,245.98,563
20025143," 25143 Itokawa (1998 SF36)",Y,2460600.5,0.2803,1.324,1.62,69.08,162.82,142.57,557
20025330," 25330 (1999 KV4)",N,2460600.5,0.3708,1.541,14.33,50.52,86.10,129.11,699
20025916," 25916 (2001 CP44)",N,2460600.5,0.4991,2.559,15.76,94.64,199.69,186.18,1.49e+03
20026166," 26166 (1995 QN3)",N,2460600.5,0.6445,3.302,14.79,185.70,62.87,331.54,2.19e+03
20026310," 26310 (1998 TX6)",N,2460600.5,0.4690,2.139,5.38,210.82,98.89,143.89,1.14e+03
20026379," 26379 (1999 HZ1)",N,2460600.5,0.5763,1.606,8.68,252.10,200.60,239.86,743
20026663," 26663 (2000 XK47)",Y,2460600.5,0.4717,1.546,13.53,303.59,231.23,108.78,702
20026760," 26760 (2001 KP41)",N,2460600.5,0.5571,2.853,11.02,146.26,155.16,289.19,1.76e+03
20026817," 26817 (1987 QB)",N,2460600.5,0.5938,2.804,3.50,153.19,156.55,336.97,1.72e+03
20027002," 27002 (1998 DV9)",Y,2460600.5,0.4333,1.744,8.70,130.34,0.82,203.62,841
20027031," 27031 (1998 RO4)",N,2460600.5,0.4256,2.139,5.35,191.80,111.88,142.56,1.14e+03
20027346," 27346 (2000 DN8)",N,2460600.5,0.3990,1.875,36.95,135.19,269.29,295.12,938
20029075," 29075 (1950 DA)",Y,2460600.5,0.5077,1.699,12.16,356.59,224.76,223.31,809
20030825," 30825 (1990 TG1)",N,2460600.5,0.6812,2.436,8.74,205.02,33.67,40.46,1.39e+03
20030997," 30997 (1995 UO5)",N,2460600.5,0.6432,1.56,36.26,38.62,151.17,206.27,712
20031210," 31210 (1998 BX7)",N,2460600.5,0.5022,2.606,8.96,144.89,271.42,157.48,1.54e+03
20031221," 31221 (1998 BP26)",N,2460600.5,0.2570,1.723,20.22,331.02,186.76,284.97,826
