"spkid","full_name","epoch","e","a","i","om","w","ma","per"
20214869,"214869 (2007 PA8)",2460600.5,0.6530,2.849,2.00,141.30,293.85,175.77,1.76e+03
20215588,"215588 (2003 HF2)",2460600.5,0.6755,1.114,3.06,189.88,231.04,195.33,429
20216115,"216115 (2006 SU19)",2460600.5,0.5864,1.527,2.09,152.22,10.63,92.91,689
20216258,"216258 (2006 WH1)",2460600.5,0.4849,1.671,2.63,240.31,263.68,65.58,789
20216523,"216523 (2001 HY7)",2460600.5,0.4122,0.9136,5.21,205.05,211.33,90.01,319
20216985,"216985 (2000 QK130)",2460600.5,0.2620,1.181,4.72,173.81,66.40,358.14,469
20217430,"217430 (2005 SN25)",2460600.5,0.2706,1.23,13.01,168.27,45.20,121.18,498
20217628,"217628 Lugh (1990 HA)",2460600.5,0.7115,2.527,4.44,177.75,316.15,160.51,1.47e+03
20220839,"220839 (2004 VA)",2460600.5,0.5949,1.901,3.69,109.45,43.48,180.72,957
20221455,"221455 (2006 BC10)",2460600.5,0.6577,2.017,0.92,21.04,234.30,142.51,1.05e+03
20221980,"221980 (1996 EO)",2460600.5,0.4008,1.342,21.59,356.46,64.69,213.52,568
20226514,"226514 (2003 UX34)",2460600.5,0.6159,1.095,2.56,4.30,218.58,241.15,419
20226554,"226554 (2003 WR21)",2460600.5,0.2615,1.118,9.27,85.76,108.11,123.09,432
20228368,"228368 (2000 WK10)",2460600.5,0.7020,1.479,14.73,57.93,244.51,150.90,657
20230111,"230111 (2001 BE10)",2460600.5,0.3692,0.8231,17.51,297.75,30.60,42.21,273
20230549,"230549 (2003 BH)",2460600.5,0.3561,1.457,13.11,119.76,313.41,158.58,642
20231937,"231937 (2001 FO32)",2460600.5,0.8258,1.699,39.01,181.71,123.36,202.09,809
20232691,"232691 (2004 AR1)",2460600.5,0.4695,1.576,9.08,336.51,50.31,206.69,723
20234145,"234145 (2000 EW70)",2460600.5,0.3213,0.9376,5.43,178.03,125.77,294.52,332
20235756,"235756 (2004 VC)",2460600.5,0.2589,1.133,39.15,194.16,94.18,257.83,441
20242216,"242216 (2003 RN10)",2460600.5,0.5407,2.233,39.66,267.16,4.73,128.79,1.22e+03
20242450,"242450 (2004 QY2)",2460600.5,0.4772,1.084,37.03,295.27,104.98,234.73,412
20242643,"242643 (2005 NZ6)",2460600.5,0.8652,1.833,8.41,38.79,48.96,237.52,907
20242708,"242708 (2005 UK1)",2460600.5,0.6953,2.501,0.79,180.30,345.94,238.37,1.44e+03
20243566,"243566 (1995 SA)",2460600.5,0.6420,2.463,19.58,169.02,54.30,255.75,1.41e+03
20244977,"244977 (2004 BE68)",2460600.5,0.4446,1.761,15.74,210.88,191.28,343.49,853
20247360,"247360 (2001 XU)",2460600.5,0.8366,2.573,19.07,260.98,286.06,181.52,1.51e+03
20250620,"250620 (2005 GE59)",2460600.5,0.6025,2.109,16.08,194.74,243.02,196.79,1.12e+03
20250680,"250680 (2005 QC5)",2460600.5,0.3645,0.893,9.45,48.05,108.72,64.80,308
20250706,"250706 (2005 RR6)",2460600.5,0.7011,2.957,6.93,27.27,59.96,258.29,1.86e+03
20251346,"251346 (2007 SJ)",2460600.5,0.5332,2.015,8.18,306.76,175.25,271.06,1.04e+03
20251722,"251722 (1997 US2)",2460600.5,0.6608,1.675,3.17,65.89,100.33,115.60,792
20252399,"252399 (2001 TX44)",2460600.5,0.5459,0.8748,15.21,57.76,136.04,262.54,299
20253841,"253841 (2003 YG118)",2460600.5,0.6461,2.28,8.03,347.42,233.54,330.41,1.26e+03
20255071,"255071 (2005 UH6)",2460600.5,0.6325,1.001,2.64,19.29,200.25,53.56,366
20260141,"260141 (2004 QT24)",2460600.5,0.2519,1.133,17.75,36.10,76.64,130.60,440
20263976,"263976 (2009 KD5)",2460600.5,0.2615,1.046,13.47,104.49,294.37,26.87,391
20264357,"264357 (2000 AZ93)",2460600.5,0.3600,0.7469,8.59,277.30,8.17,311.13,236
20264993,"264993 (2003 DX10)",2460600.5,0.4108,1.375,3.15,61.75,194.06,95.46,589
20265196,"265196 (2004 BW58)",2460600.5,0.3787,1.455,15.21,132.61,301.85,328.22,641
20265482,"265482 (2005 EE)",2460600.5,0.3277,1.129,6.17,110.78,284.75,214.47,438
20267131,"267131 (2000 EK26)",2460600.5,0.6573,2.41,15.65,126.39,305.54,240.69,1.37e+03
20267221,"267221 (2001 AD2)",2460600.5,0.6598,1.04,1.64,210.54,111.95,235.31,387
20267337,"267337 (2001 VK5)",2460600.5,0.5140,1.269,19.43,54.22,263.93,64.72,522
20267494,"267494 (2002 JB9)",2460600.5,0.7843,2.719,46.76,70.21,278.00,341.38,1.64e+03
20267720,"267720 (2003 CA)",2460600.5,0.7196,1.379,21.15,126.17,234.82,185.74,592
20267729,"267729 (2003 FC5)",2460600.5,0.6087,1.917,5.83,188.76,271.26,64.82,969
20269690,"269690 (1996 RG3)",2460600.5,0.6037,2.001,3.58,158.05,300.27,297.31,1.03e+03
20275677,"275677 (2000 RS11)",2460600.5,0.3205,1.28,17.10,172.16,301.69,146.18,529
20276033,"276033 (2002 AJ129)",2460600.5,0.9149,1.37,15.44,138.01,211.04,85.46,586
20277475,"277475 (2005 WK4)",2460600.5,0.2374,1.011,9.84,138.11,74.13,83.30,371
20277570,"277570 (2005 YP180)",2460600.5,0.6170,1.372,4.11,288.91,92.47,276.63,587
20279744,"279744 (1998 KM3)",2460600.5,0.6108,1.67,4.66,263.02,85.36,37.82,789
20279816,"279816 (2000 JE5)",2460600.5,0.4006,1.238,50.74,41.23,285.16,202.01,503
20281375,"281375 (2008 JV19)",2460600.5,0.2485,0.9856,7.23,141.96,310.61,30.99,357
20285263,"285263 (1998 QE2)",2460600.5,0.5728,2.421,12.88,250.07,345.69,9.29,1.38e+03
20286080,"286080 (2001 TX1)",2460600.5,0.4825,1.047,2.80,159.14,354.18,86.91,392
20288807,"288807 (2004 RW164)",2460600.5,0.3766,1.49,36.78,164.93,342.88,246.85,664
20289315,"289315 (2005 AN26)",2460600.5,0.6379,2.32,4.92,175.79,208.49,238.91,1.29e+03
20290772,"290772 (2005 VC)",2460600.5,0.5929,2.085,4.49,227.79,290.38,27.83,1.1e+03
20292220,"292220 (2006 SU49)",2460600.5,0.3117,1.412,2.52,303.06,199.10,153.84,613
20294739,"294739 (2008 CM)",2460600.5,0.4080,1.566,36.01,279.54,130.69,196.87,716
20297274,"297274 (1996 SK)",2460600.5,0.7905,2.445,1.97,195.51,286.33,113.57,1.4e+03
20297300,"297300 (1998 SC15)",2460600.5,0.4144,1.273,16.08,198.68,277.49,337.60,525
20297418,"297418 (2000 SP43)",2460600.5,0.4669,0.8115,10.34,350.53,224.46,70.52,267
20301844,"301844 (1990 UA)",2460600.5,0.5260,1.642,0.93,104.28,202.58,87.51,769
20302169,"302169 (2001 TD45)",2460600.5,0.7777,0.7966,25.37,30.25,212.45,199.85,260
20302831,"302831 (2003 FH)",2460600.5,0.5406,1.389,25.80,24.12,274.37,5.07,598
20303450,"303450 (2005 BY2)",2460600.5,0.3306,1.269,7.29,74.44,130.28,240.46,522
20304330,"304330 (2006 SX217)",2460600.5,0.3103,1.412,21.04,32.60,176.24,92.72,613
20306383,"306383 (1993 VD)",2460600.5,0.5515,0.8758,2.07,2.17,254.24,6.11,299
20307005,"307005 (2001 XP1)",2460600.5,0.7528,2.89,39.21,268.07,246.31,215.45,1.79e+03
20308242,"308242 (2005 GO21)",2460600.5,0.3400,0.7533,24.93,272.67,156.64,164.27,239
20308635,"308635 (2005 YU55)",2460600.5,0.4305,1.157,0.34,35.93,273.56,189.35,454
20310442,"310442 (2000 CH59)",2460600.5,0.4231,0.863,3.25,213.44,109.76,86.13,293
20310560,"310560 (2001 QL142)",2460600.5,0.4991,1.049,26.60,165.55,72.15,267.48,393
20311044,"311044 (2004 BB103)",2460600.5,0.6220,1.908,55.86,271.07,71.49,332.19,962
20311066,"311066 (2004 DC)",2460600.5,0.3996,1.634,19.46,74.90,156.37,296.12,763
20312070,"312070 (2007 TA19)",2460600.5,0.5096,0.9539,22.63,181.18,58.06,176.51,340
20314082,"314082 Dryope (2005 CZ36)",2460600.5,0.5766,2.235,16.18,116.62,139.53,272.32,1.22e+03
20314212,"314212 (2005 NJ1)",2460600.5,0.6511,2.132,6.46,316.16,82.62,45.75,1.14e+03
20317255,"317255 (2002 DJ5)",2460600.5,0.5678,1.401,6.43,347.86,296.19,161.26,606
20325395,"325395 (2009 CQ5)",2460600.5,0.0914,0.9327,18.68,278.65,118.24,187.75,329
20326290,"326290 Akhenaten (1998 HE3)",2460600.5,0.4402,0.879,3.38,53.44,309.34,305.23,301
20329437,"329437 (2002 OA22)",2460600.5,0.2432,0.9356,6.89,174.04,318.64,335.65,331
20329614,"329614 (2003 KU2)",2460600.5,0.6770,2.69,5.40,105.21,246.81,272.06,1.61e+03
20330233,"330233 (2006 KV86)",2460600.5,0.3740,1.543,37.08,220.04,153.86,90.72,700
20331876,"331876 (2004 CL)",2460600.5,0.5362,1.284,13.31,109.39,274.69,123.38,532
20332446,"332446 (2008 AF4)",2460600.5,0.4101,1.38,8.93,109.31,293.35,146.62,592
20333521,"333521 (2005 PO)",2460600.5,0.3731,1.252,12.51,300.48,249.55,346.44,512
20333578,"333578 (2006 KM103)",2460600.5,0.3766,1.573,11.68,169.45,197.03,35.66,721
20337075,"337075 (1998 QC1)",2460600.5,0.5901,1.984,9.65,308.34,115.47,101.77,1.02e+03
20337558,"337558 (2001 SG262)",2460600.5,0.5829,1.962,4.82,359.03,100.26,115.78,1e+03
20341843,"341843 (2008 EV5)",2460600.5,0.0827,0.9602,7.45,93.23,235.84,63.75,344
20342866,"342866 (2008 YU32)",2460600.5,0.5955,1.537,3.41,232.57,83.97,142.65,696
20344076,"344076 (1998 HJ3)",2460600.5,0.7463,1.985,6.56,223.55,94.19,137.52,1.02e+03
20348306,"348306 (2005 AY28)",2460600.5,0.5702,0.8726,5.88,117.47,155.97,328.78,298
20348314,"348314 (2005 BC)",2460600.5,0.2781,1.19,30.12,292.45,84.20,123.73,474
20348400,"348400 (2005 JF21)",2460600.5,0.5351,2.226,10.84,132.18,206.14,270.24,1.21e+03
20349068,"349068 (2006 YT13)",2460600.5,0.4258,1.323,38.24,116.69,105.45,205.04,556
20349507,"349507 (2008 QY)",2460600.5,0.5817,1.168,13.56,1.91,254.90,338.34,461
20350523,"350523 (2000 EA14)",2460600.5,0.2026,1.117,3.56,203.83,206.06,39.54,431
20350751,"350751 (2002 AW)",2460600.5,0.2567,1.072,0.57,161.76,119.33,42.35,405
20352102,"352102 (2007 AG12)",2460600.5,0.6565,2.09,41.97,305.39,68.23,354.95,1.1e+03
20354182,"354182 (2002 DU3)",2460600.5,0.2383,1.145,8.71,0.61,245.59,102.40,448
20356991,"356991 (1998 QA1)",2460600.5,0.5339,2.102,8.19,298.85,333.15,223.83,1.11e+03
20357022,"357022 (1999 YG3)",2460600.5,0.3295,1.285,34.52,293.25,250.24,318.54,532
20357024,"357024 (1999 YR14)",2460600.5,0.4000,1.651,3.73,2.98,9.70,285.74,775
20357028,"357028 (2000 EJ26)",2460600.5,0.6147,1.383,9.23,10.48,285.90,347.63,594
20357439,"357439 (2004 BL86)",2460600.5,0.4025,1.502,23.78,126.65,311.51,120.93,673
20357594,"357594 (2004 XL35)",2460600.5,0.2784,1.355,27.30,73.75,356.21,210.77,576
20357622,"357622 (2005 EY95)",2460600.5,0.5384,1.084,3.17,72.86,342.14,197.54,412
20358471,"358471 (2007 NS4)",2460600.5,0.5972,1.875,5.78,10.96,47.58,213.25,938
20358744,"358744 (2008 CR118)",2460600.5,0.5118,1.842,3.92,121.42,157.22,180.30,913
